GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TODO Plugin,org.jenkinsci.plugins.customviewtabs,CustomViewsTabBar.CustomViewsTabBarDescriptor,4,7,0,0,2,4,1,2,1,2
TODO Plugin,org.jenkinsci.plugins.customviewtabs,CustomViewsTabBar,3,0,0,0,2,0,1,0,1,0
